,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
08/12/2023 00:00:46,33.59375,32.03125,24.21875,28.125,29.4921875,67,62,66,61,66,3409.71216,3409.71216,3409.71216,3509.9978,15.4301929,12.8140306,0.305689275,1.883913,100.285652,35.82785,11.4344635,20.4805489,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:47,28.90625,28.125,26.7237072,21.9990082,26.4384918,62,61,60,60,62,3409.712,3409.712,3409.712,3409.712,15.5973606,12.9811087,0.278356463,1.95870328,100.285645,35.8256378,11.4337578,20.4812546,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:48,26.5625,22.65625,21.0336571,20.9735565,22.80649,65,61,59,59,65,3409.71143,3409.71143,3610.28271,3409.71143,13.488595,10.9988546,0.237316236,1.75441444,100.285629,35.7649765,11.4143982,20.5006142,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:49,25,35.9375,22.65625,28.125,27.9296875,60,61,64,60,64,3409.7124,3610.28369,3409.7124,3409.7124,17.038084,14.2996922,0.370427668,2.0016284,100.28566,35.7651825,11.414463,20.50055,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:50,25,25.78125,17.96875,16.40625,21.2890625,64,61,59,60,65,3409.712,3409.712,3409.712,3409.712,12.88058,10.1000853,0.5317837,1.70702255,100.285645,35.7755127,11.4177589,20.4972534,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:51,20.3125,17.1875,16.40625,14.84375,17.1875,58,59,57,59,59,3409.71216,3409.71216,3409.71216,3409.71216,12.7861319,10.3313093,0.222265452,1.67756629,100.285652,35.7501831,11.4096756,20.5053368,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:52,35.15625,29.6875,25,39.0625,32.2265625,63,66,61,64,67,3409.712,3409.712,3409.712,3509.99756,19.9104424,15.8112288,1.68938041,2.08856273,100.285645,35.70955,11.3967056,20.5183067,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:53,32.8125,32.8125,25.78125,30.46875,30.46875,62,63,60,63,63,3409.71216,3409.71216,3409.71216,3409.71216,20.70556,15.9194527,2.34696865,2.09882164,100.285652,35.62069,11.3683472,20.5466652,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:54,21.09375,21.09375,14.0625,19.53125,18.9453125,60,66,60,59,66,3509.99756,3409.712,3409.712,3409.712,14.3309536,10.167243,1.89164841,1.62654579,100.285645,35.5895157,11.3583984,20.5566139,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:55,29.6875,25.78125,26.5625,30.46875,28.125,67,63,69,60,66,3409.711,3409.711,3409.711,3409.711,17.98989,13.82416,1.82764864,1.91872048,100.285622,35.65136,11.3781357,20.5368767,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
